Best Picture,Best Actor,Best Actress,Best Supporting Actor,Best Supporting Actress,Best Original Screenplay,Best Adapted Screenplay,Best Cinematography,Best Director,Best Animation,IMDB Top 250 Movies
Total Movies in DB: 94,Total Movies in DB: 93,Total Movies in DB: 95,Total Movies in DB: 86,Total Movies in DB: 86,Total Movies in DB: 81,Total Movies in DB: 93,Total Movies in DB: 122,Total Movies in DB: 93,Total Movies in DB: 21,Total Movies in DB: 241
"1927 - ""Wings""","1927 - Emil Jannings, ""The Way of All Flesh""","1927 - Janet Gaynor, ""7th Heaven""","1936 - Walter Brennan, ""Come and Get It""","1936 - Gale Sondergaard, ""Anthony Adverse""","1940 - Preston Sturges, ""The Great McGinty""","1927 - ""7th Heaven""","1927 - Charles Rosher, ""Sunrise""","1927 - Lewis Milestone, ""Two Arabian Knights""","2001 - ""Shrek""","1921 - ""The Kid"""
"1929 - ""The Broadway Melody""","1928 - Emil Jannings, ""The Last Command""","1928 - Janet Gaynor, ""Street Angel""","1937 - Joseph Schildkraut, ""The Life of Emile Zola""","1938 - Alice Brady, ""In Old Chicago""","1941 - Herman J. Mankiewicz and Orson Welles, ""Citizen Kane""","1928 - ""The Patriot""","1928 - Clyde De Vinna, ""White Shadows in the South Seas""","1927 - Frank Borzage, ""7th Heaven""","2001 - ""Spirited Away""","1924 - ""Sherlock Jr."""
"1930 - ""All Quiet on the Western Front""","1929 - George Arliss, ""Disraeli""","1927 - Janet Gaynor, ""Sunrise""","1938 - Walter Brennan, ""Kentucky""","1938 - Fay Bainter, ""Jezebel""","1942 - Ring Lardner Jr. and Michael Kanin, ""Woman of the Year""","1930 - ""The Big House""","1930 - Joseph T. Rucke, ""With Byrd at the South Pole""","1929 - Frank Lloyd, ""The Divine Lady""","2003 - ""Finding Nemo""","1925 - ""The Gold Rush"""
"1931 - ""Cimarron""","1931 - Lionel Barrymore, ""A Free Soul""","1929 - Mary Pickford, ""Coquette""","1939 - Thomas Mitchell, ""Stagecoach""","1939 - Hattie McDaniel, ""Gone with the Wind""","1943 - Norman Krasna, ""Princess O’Rourke""","1931 - ""Cimarron""","1931 - Floyd Crosby, ""Tabu: A Story of the South Seas""","1930 - Lewis Milestone, ""All Quiet on the Western Front""","2004 - ""The Incredibles""","1926 - ""The General"""
"1932 - ""Grand Hotel""","1931 - Wallace Beery, ""Dr. Jekyll and Mr. Hyde""","1930 - Norma Shearer, ""The Divorcee""","1940 - Walter Brennan, ""The Westerner""","1940 - Jane Darwell, ""The Grapes of Wrath""","1944 - Lamar Trotti, ""Wilson""","1931 - ""Bad Girl""","1932 - Lee Garmes, ""Shanghai Express""","1931 - Norman Taurog, ""Skippy""","2005 - ""Wallace & Gromit - The Curse of the Were-Rabbit""","1927 - ""Metropolis"""
"1933 - ""Cavalcade""","1931 - Wallace Beery, ""The Champ"" ","1930 - Marie Dressler, ""Min and Bill""","1941 - Donald Crisp, ""How Green Was My Valley""","1941 - Mary Astor, ""The Great Lie""","1944 - Richard Schweizer, ""Marie-Louise""","1933 - ""Little Women""","1932 - Charles Lang, ""A Farewell to Arms""","1931 - Frank Borzage, ""Bad Girl""","2006 - ""Happy Feet""","1927 - ""Sunrise"""
"1934 - ""It Happened One Night""","1933 - Charles Laughton, ""The Private Life of Henry VIII""","1931 - Helen Hayes, ""The Sin of Madelon Claudet""","1941 - Van Heflin, ""Johnny Eager""","1942 - Teresa Wright, ""Mrs. Miniver""","1945 - Muriel and Sydney Box, ""The Seventh Veil""","1934 - ""It Happened One Night""","1934 - Victor Milner, ""Cleopatra""","1933 - Frank Lloyd, ""Cavalcade""","2007 - ""Ratatouille""","1928 - ""The Passion of Joan of Arc"""
"1935 - ""Mutiny on the Bounty""","1934 - Clark Gable, ""It Happened One Night""","1933 - Katharine Hepburn, ""Morning Glory""","1943 - Charles Coburn, ""The More the Merrier""","1943 - Katina Paxinou, ""For Whom the Bell Tolls""","1947 - Sidney Sheldon, ""The Bachelor and the Bobby-Soxer""","1935 - ""The Informer""","1935 - Hal Mohr, ""A Midsummer Night’s Dream""","1934 - Frank Capra, ""It Happened One Night""","2008 - ""WALL-E""","1931 - ""City Lights"""
"1936 - ""The Great Ziegfeld""","1935 - Victor McLaglen, ""The Informer""","1934 - Claudette Colbert, ""It Happened One Night""","1944 - Barry Fitzgerald, ""Going My Way""","1944 - Ethel Barrymore, ""None But the Lonely Heart""","1948 - Placeholder Name, ""The Treasure of the Sierra Madre""","1936 - ""The Story of Louis Pasteur""","1936 - Tony Guadio, ""Anthony Adverse""","1935 - John Ford, ""The Informer""","2009 - ""Up""","1931 - ""M"""
"1937 - ""The Life of Emile Zola""","1936 - Paul Muni, ""The Story of Louis Pasteur""","1935 - Bette Davis, ""Dangerous""","1945 - James Dunn, ""A Tree Grows in Brooklyn""","1944 - Anne Revere, ""National Velvet""","1949 - Robert Pirosh, ""Battleground""","1937 - ""The Life of Emile Zola""","1936 - W. Howard Greene, ""The Garden of Allah""","1936 - Frank Capra, ""Mr. Deeds Goes to Town""","2010 - ""Toy Story 3""","1934 - ""It Happened One Night"""
"1938 - ""You Can’t Take It With You""","1937 - Spencer Tracy, ""Captains Courageous""","1936 - Luis Rainer, ""The Great Ziegfeld""","1946 - Harold Russell, ""The Best Years of Our Lives""","1946 - Anne Baxter, ""The Razor’s Edge""","1950 - Charles Brackett, ""Sunset Blvd.""","1938 - ""Pygmalion""","1937 - Karl Freund, ""The Good Earth""","1937 - Leo McCarey, ""The Awful Truth""","2011 - ""Rango""","1936 - ""Modern Times"""
"1939 - ""Gone with the Wind""","1938 - Spencer Tracy, ""Boys Town""","1937 - Luise Rainer, ""The Good Earth""","1947 - Edmund Gwenn, ""Miracle on 34th Street""","1947 - Celeste Holm, ""Gentleman’s Agreement""","1951 - Alan Jay Lerner, ""An American in Paris""","1939 - ""Gone with the Wind""","1937 - W. Howard Greene, ""A Star is Born""","1938 - Frank Capra, ""You Can’t Take It with You""","2012 - ""Brave""","1939 - ""Gone with the Wind"""
"1940 - ""Rebecca""","1939 - Robert Donat, ""Goodbye, Mr. Chips""","1938 - Bette Davis, ""Jezebel""","1948 - Walter Huston, ""The Treasure of the Sierra Madre""","1948 - Claire Trevor, ""Key Largo""","1951 - T.E.B. Clarke, ""The Lavender Hill Mob""","1940 - ""The Philadelphia Story""","1938  - Joseph Ruttenberg, ""The Great Waltz""","1939 - Victor Fleming, ""Gone With the Wind""","2013 - ""Frozen""","1939 - ""Mr. Smith Goes to Washington"""
